,Topic-0,Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8
-2071.778086_3145.402956,620.3680980793285,138.75633695345573,433.2912449766083,720.7160245790969,402.17185623294665,690.4280276035032,242.60006517869402,172.0036677340675,179.81160157725594
-2071.778086_3245.402956,668.3789103249378,451.5087367552388,23.90630154272959,188.94834920610515,241.34099670822258,326.1093634735754,175.93404899635382,931.2646748685773,81.75554072526178
-2071.778086_3345.402956,495.2540311018531,498.8903347377841,35.92726458499221,327.52911497615503,87.23952113610014,25.588022945610156,179.4521777270949,275.1902935488262,256.74308414996665
-2071.778086_3445.402956,941.3087166027929,476.72106232875797,147.37699267002506,41.97709554795477,620.1868756178449,63.37941308088066,7.214034902454519,720.0934836017477,13.556151344333683
-2071.778086_3545.402956,1135.6517054657547,199.98941386264787,84.28194530064864,292.9325027027696,3049.033599033316,322.3173838472482,4.966927978751116,591.5320958744064,23.108219059095447
-2071.778086_3645.402956,1091.8743734556035,212.6923711892661,291.9284919922433,697.4589930450486,931.4774223942112,198.60594400841248,257.19245558443805,726.6628889372167,475.95283566198833
-2071.778086_3745.402956,1300.0894972051844,151.4417250106521,575.9146231540551,1186.018768768903,1438.1059046865375,316.6659283936505,2.362672142088517,460.128375754561,972.0459370484109
-2071.778086_3845.402956,785.9271107304073,18.93498667112992,658.0020772006559,755.5801329480064,1543.1278678822034,23.256631803136866,569.3661175411759,857.212252201279,148.36625902202275
-2071.778086_3945.402956,1079.229200384659,163.54931226864778,1575.9668615467199,514.5639795948509,1245.370209339943,32.816557836022454,435.6673554734124,431.62432432787267,179.8680483032473
-2071.778086_4045.402956,143.65178751963387,401.2287378813803,2733.033008086101,1000.9001247094193,787.9384226581672,277.2819917502525,331.3099162146173,704.5383545398349,150.15127593383784
-2071.778086_4145.402956,21.77071263320491,5.513277152237445,1227.060925367799,556.0938339622568,483.991639021527,30.454874701364776,600.5515159037258,368.34416539462046,22.656271006239617
-2071.778086_4245.402956,926.7158893909324,342.4219222866511,1320.9302518518587,914.3497275764088,736.9535203249662,27.980170576670215,523.194814165647,673.145081133189,1.7458367176755292
-2171.778086_2745.402956,230.96214171209522,357.6793508202776,73.04138674899448,174.16431183994112,3.0141041670743465,279.3375860214923,532.0535239987838,118.65735815216048,96.05228413085538
-2171.778086_2845.402956,960.7095177196927,320.9725581611699,135.0063422361679,578.1847530235489,90.70261825286329,63.966342466007106,575.4151506985572,453.3940298753961,863.6107349932782
-2171.778086_2945.402956,1255.6362894573865,230.56917523551706,249.00146198900433,1041.1420278685018,216.59443241838707,552.3844738765647,682.526178123265,1058.501154331393,238.6068533078439
-2171.778086_3045.402956,337.00122080780517,333.64333701570405,123.42276186460299,284.0943704078524,3.7246710271652574,8.92832490462201,525.7084490922085,950.705105534982,314.7338032922562
-2171.778086_3145.402956,405.1666747823491,157.24541544807528,94.6747126511645,460.6459353495725,181.0390482879557,198.67267716949132,655.1465745861169,711.2845568197126,130.2713299015066
-2171.778086_3245.402956,686.238018135623,547.1197211140095,348.54969406640345,611.3111149110807,261.63419859038714,410.5042303937508,6.810444949898178,305.06039800335816,422.027092808267
-2171.778086_3345.402956,602.3409497514497,206.40576939955042,111.43112969419816,296.40268371559216,1217.7646172658617,328.08767526474054,437.62614011556735,1345.8252465963378,349.92963223312705
-2171.778086_3445.402956,1277.456436137603,311.3077285676202,939.6600568345804,1764.27844788035,2329.3370389081238,12.02580289689055,172.5830789276028,147.81943622310058,151.3458015449552
-2171.778086_3545.402956,1364.2636269754553,266.4725404408688,593.4452263619137,390.0971592457218,1711.7169831813203,35.247399622265526,433.80747029306247,309.8199498839469,300.9434362333493
-2171.778086_3645.402956,1839.7999709465917,423.39313687126054,278.1747498888861,13.453065015365704,2913.2813406617197,79.78594449078088,428.02393968714307,672.3132822458389,10.510963697026003
-2171.778086_3745.402956,1047.7430255582656,349.78866536165924,225.1648771100848,3.9647754349347526,1161.3171587889267,387.7335701657851,89.1677792184287,216.95781586282712,61.89873152316401
-2171.778086_3845.402956,264.7593783748927,388.5294701170596,230.11916220186907,1248.5960727764436,1186.2989410993769,63.73397982101794,629.4882865726804,386.78163600715993,249.4665016717975
-2171.778086_3945.402956,1173.4337140845175,319.43231771816136,577.0591670127851,55.95071212851507,516.4808751397179,310.86152013803127,264.674841925607,339.0134704039325,283.6910165635853
-2171.778086_4045.402956,655.8994421161977,343.03506304868876,920.2166359679998,217.78936627531087,183.4733579077143,312.83610019224716,70.36363733163228,306.1091442964837,4.2554688256949
-2171.778086_4145.402956,0.19954341423085972,381.8433559505546,384.08197862400965,194.6854940670949,60.91225675213713,693.8548492616019,1437.201093442551,546.3180137352193,581.0423373365963
-2171.778086_4245.402956,49.90304233358169,103.50262877869146,243.03314103071818,4142.2943655241725,748.4261549657328,865.6212965711716,2.0901340588879425,1521.253895083894,10.014261321581294
-2271.778086_2745.402956,143.99854305996573,293.5364941509634,438.11068080234156,226.17004445684282,7.782729441540044,261.01682087305494,23.48839523038371,6.043587423805771,3.80377768983133
-2271.778086_2845.402956,2748.7973642086017,671.1571905735503,756.8937389025804,458.59020467889684,265.2238707326674,280.0333863533889,38.41702510092684,689.394218062049,440.4816637557995
-2271.778086_2945.402956,877.8230592719225,298.1068639986696,314.6686788284928,685.0482063453261,169.77257701816686,160.90158778581895,17.569273909487094,317.40128019258003,145.82127561044885
-2271.778086_3045.402956,1494.9188408418324,21.792614061279565,359.8867970070905,271.15489286306246,1479.4360171015298,190.21602648532135,505.2197021638582,718.557437502071,12.635042017527567
-2271.778086_3145.402956,1050.6076860009969,190.33416232391446,878.243399191423,677.8698625733726,1413.325739809406,145.7628692291584,41.36094417181193,252.53596983635424,394.7767366973133
-2271.778086_3245.402956,640.425916749983,23.431023934942488,948.0551715891424,605.8109350878142,1948.257586804841,263.4519641546505,610.0595310666961,160.66944174638223,217.6667139021349
-2271.778086_3345.402956,766.6362705924024,52.3587319143503,107.06123215989209,385.5815129863161,2276.9537977010546,15.864869776459383,12.572199297285167,367.38883787786506,249.39635852928674
-2271.778086_3445.402956,1363.0616711441114,168.09908472453125,801.9331875387846,480.6596298010897,2187.8135532470974,574.9582680739892,279.1445813603652,436.9521333622461,282.19171740198925
-2271.778086_3545.402956,1024.1636091627436,126.88739398636356,365.97836702601546,355.0542466803542,2639.029964480442,67.43331922918688,50.28057450732127,1259.3243592996857,20.661953100364265
-2271.778086_3645.402956,1471.4001925246002,331.8828258879771,330.55692106484435,1008.2255790202103,807.0839444986686,770.790774119777,886.3575310617508,137.05823184712284,346.38039680145533
-2271.778086_3745.402956,546.6015799753134,419.979845000011,87.85239828753056,14.165184478163553,2083.1370439806765,418.01409025331594,30.019001003159257,394.6136573199505,458.3535952677778
-2271.778086_3845.402956,916.6854276264111,302.6230889182901,529.2331774418925,21.91737358244316,1358.40256574474,106.76652427475597,96.9475014788117,1445.8716653874178,651.2890706182828
-2271.778086_3945.402956,395.672040686823,229.94203728330558,709.5569368601374,1159.4030044625188,1146.7557859343824,283.40092917633956,90.56716968424864,632.7085838630801,67.59112211901446
-2271.778086_4045.402956,1625.4606864297425,501.7655929117179,198.93592411536852,208.49377207843298,343.35964323333064,47.347016016540735,959.9954768242434,687.6924387679826,184.92763621285397
-2271.778086_4145.402956,0.19936012032930656,240.23225610674515,138.04815792290705,1337.5682464660026,0.33807332929414735,585.650057655338,265.37111884720554,2.783481587997223,9.503350575379617
-2271.778086_4245.402956,0.1987465165478547,155.61924684532116,19.04192270675689,869.3594223342346,0.33398213740368765,1653.6022479227881,173.4084045274897,416.7933106092967,370.33681296390534
-2371.778086_2745.402956,680.567074021117,280.2683270581403,117.26061063549632,37.374043257317055,234.18626212112454,13.134896495440625,236.63116157294556,270.84382104263744,99.11681660312654
-2371.778086_2845.402956,1996.039554306249,427.04592492293654,163.99133885776,545.5789438247367,182.0238598936066,146.624528756045,2.8071331101822703,396.21704180473773,1136.0546868571669
-2371.778086_2945.402956,1629.2384380220017,302.62417153455294,521.9890359109778,1379.4789986422766,456.74415114484606,34.663360234872044,735.0932466811124,15.245761528731775,72.30584790426937
-2371.778086_3045.402956,1781.8540708096225,36.93752435039705,746.8141220136794,306.6515282452548,2186.1223897442374,94.16846061809196,266.8860465176364,381.77281720752484,120.17605492237404
-2371.778086_3145.402956,936.209359496003,360.093717360372,175.651105784629,418.6147114765611,2321.0217609655906,14.623407451599856,785.3164246670125,647.8981600468617,15.939893036575691
-2371.778086_3245.402956,1788.1583991230282,460.06498400224217,549.1404096982051,1575.459729670387,2057.034821167849,11.972920740279283,37.77085474182171,47.48896603719751,101.15559431717301
-2371.778086_3345.402956,685.8572906727271,282.687533281945,52.009714260669504,1175.107106126622,2303.16741530601,157.6185736675016,1.0453958879428886,1.2198478087570395,267.5354947681879
-2371.778086_3445.402956,776.6322865059714,415.64270414524776,888.0141804022936,316.26097010141126,1541.1094766430506,351.3551762132169,35.096479882477034,232.19926653301536,59.29443817386484
-2371.778086_3545.402956,1207.147248436321,248.59398307751272,605.5701698802521,860.2407661706144,1600.7676328306372,22.29874108798756,12.343201681971147,324.2717421593163,178.37145662892942
-2371.778086_3645.402956,629.1363756775465,431.6723623534878,228.59324624778728,18.435980536439402,1224.0766334600307,216.91892497464815,686.7020345925805,757.1460813242144,46.05475464222581
-2371.778086_3745.402956,1249.5123744709574,440.18523389754506,150.08136993182652,92.63878482268295,1167.2552031936502,406.48858761394945,842.257991092645,1172.8887628141244,87.42808663622225
-2371.778086_3845.402956,1385.9385855791527,236.6720983474192,258.8761468622921,1018.293729408613,1401.800894657613,196.8261988817,1948.8478557998776,899.1392977069696,336.34158332837086
-2371.778086_3945.402956,983.7188368323522,220.95653823177904,357.20091193388873,342.0829585456597,1368.1430330178848,76.55355452366122,95.43242681725364,725.7056212299643,99.80368083903629
-2371.778086_4045.402956,502.0528763576672,428.70560712641844,539.9970454511238,533.1660061396145,536.7444071030475,423.06294121041856,633.6401889979991,357.8848387078908,60.86985234320115
-2371.778086_4145.402956,44.1249133859295,382.9663974521155,187.38732686088065,529.6302474207855,107.16720418524375,913.2459755811137,0.46619866911098795,448.2915444642283,224.13995918942405
-2371.778086_4245.402956,0.19894366462064791,25.226642177574593,73.91885454491867,766.3321292704638,32.89189754093394,3184.462163604359,5.975026857729676,442.556779730498,155.8573178185338
-2471.778086_2745.402956,152.39989095084564,31.574780474253068,91.50539887988836,8.494843184459896,107.84935088232602,0.9139564562012845,6.849969100424252,68.24644094514248,112.54837801663821
-2471.778086_2845.402956,1903.491810143791,320.38068183963753,221.8853732262586,906.5598097387199,377.2900797746536,3.8694143056773393,429.0552190968749,56.18667969417783,422.6639373628311
-2471.778086_2945.402956,2545.0635426178155,472.2489695422255,292.04222677635806,432.59526679251405,2275.048247893447,161.72043884308763,303.0401364371967,549.5914055760494,51.96676378594088
-2471.778086_3045.402956,1361.9666101974628,471.7054298264038,0.6590348377246626,715.0552710203486,2836.9919584028657,437.42033180301127,531.3837219584386,176.85417458031938,822.9495141315701
-2471.778086_3145.402956,455.64309273039447,275.499532993308,242.10827187129408,834.9811456514027,2633.6487903484067,18.545880981150862,550.6834460264757,0.16949062861179123,19.64922891536211
-2471.778086_3245.402956,369.2107039764627,520.5409949018436,128.23461363980536,2021.2571902890209,4193.449093648093,36.045751863960106,244.5429263729394,0.16921464665290328,32.356533436093486
-2471.778086_3345.402956,73.61673911799353,246.27577829235025,466.55957006818437,1003.383208913999,3062.927897693951,45.13253199760184,776.8778855509262,292.787003838722,19.686057598954893
-2471.778086_3445.402956,712.7075163406113,210.8170106798866,268.3278707103266,945.3098993917632,1432.769663521981,147.2849754428634,1.0717121561577534,1121.6962388884258,450.61839691970545
-2471.778086_3545.402956,1225.3865932900533,441.42128267560196,1061.0656667145709,1015.6395230722943,1812.27700872671,32.39459293972625,75.30412150381463,1276.63158091677,178.4828758869032
-2471.778086_3645.402956,882.6653704330437,586.4757967746401,439.081138344531,108.185725317307,1129.4012992362398,245.95175285651774,409.0356092973733,1481.9719593965851,510.8900291299691
-2471.778086_3745.402956,1345.1815241840288,266.30085182799246,676.171430326823,427.52113872047295,1205.3016279055844,140.56098286057994,179.2617399594706,814.4752143550035,28.884166195389568
-2471.778086_3845.402956,998.4672604875273,376.77044157460006,533.0120931370798,132.21793362775048,1555.4879922039966,26.244946187323972,1084.5458953508557,1224.7859407292194,870.1070366221668
-2471.778086_3945.402956,438.514708574878,808.5468145994474,516.3567681326889,0.24065685577398557,1501.596637177852,303.1259869589461,1521.2212090528833,539.0738886964504,53.38286420450859
-2471.778086_4045.402956,141.17528902855042,738.2191480717959,278.9815940611927,73.48908573324596,0.3470525300992243,150.13255575047415,186.35965169090508,320.27555287493783,1091.6037796853968
-2471.778086_4145.402956,446.5650483934165,344.7181147615327,644.054716152918,0.23975445723526323,420.3561292835517,481.2617683125539,42.63546063892543,238.5678394731185,873.4829002239943
-2471.778086_4245.402956,0.1993256536854508,303.5759363442005,105.15433306954465,244.26755998353417,0.25779296315494277,1086.644697650104,493.5788776367715,23.37528660649266,191.33165182345854
-2571.778086_2745.402956,501.9170070647919,4.732244262508854,11.470350581444178,1.968150349874908,404.8360022651637,13.791326926088704,0.7445201273812567,177.2682931437703,9.108381474374756
-2571.778086_2845.402956,1918.6633939269577,402.3545379810107,119.11003546860987,60.70770676630519,2046.910480676985,332.091716974727,930.3872663024011,453.12984786802247,491.48129050582594
-2571.778086_2945.402956,945.0310192821526,133.2443175278861,0.4526446612972,549.4863602717426,2214.6599228973364,89.16437269435573,26.0995033513648,0.10933531017347703,374.0351476395238
-2571.778086_3045.402956,1370.5359029910219,670.514029779882,264.4260565287047,1131.6124611095063,5698.711932210672,56.271073164832984,53.154140632706245,0.10933204400422847,362.0171016066721
-2571.778086_3145.402956,397.386466257526,93.10326437852929,379.53782788098334,1249.7426729514207,4013.1304792002597,242.3670079630116,0.34774372592375613,0.10933143427657434,322.8433997204904
