,0,1,2,3,4,5,6,7,8,9,10,11
-2271.778086_3645.402956,0.25309377808694256,0.018791007273018967,0.05074131442723474,0.23929865592257363,0.09615700282119358,0.07378273505103235,0.02968151364719951,0.0569066252679367,6.017860162598708e-05,0.04371352231897706,0.11655353873859009,0.021220127843674618
-2271.778086_3745.402956,0.18333754699607846,0.012224922569000292,0.08704709527589927,0.003268303017140638,0.381139255450203,0.00036392261338353724,0.009598996808228535,0.06519041424994058,7.766272983146472e-05,0.12043815548700504,0.08829415906083055,0.049019565742458415
-2271.778086_3845.402956,0.27995220074722676,0.03560281199074524,0.02094317157707512,0.0001090561229960643,0.10959304113874273,0.0018051099103523881,0.014498739341608701,0.20504341888056213,9.233402013743564e-05,0.13615035843049847,0.014858603712394242,0.18135115412766092
-2271.778086_3945.402956,0.20983755986126776,0.022120299930170242,0.05783146663588118,0.21557133853296362,0.14132891326706967,0.05135085223727839,0.0001464950756050966,0.09354290883374676,0.0019524673496049106,0.017239999989070866,0.05220031756370489,0.13687738072363656
-2271.778086_4045.402956,0.3868287940640591,0.07033887336009181,0.04524207448713304,0.133337187733343,0.00032395223969601723,0.10257234544775054,0.006023071859066688,0.11112744810770216,6.930926887089881e-05,0.04168609309692589,0.00437508597025534,0.09807576436510537
-2271.778086_4145.402956,8.865171736638137e-05,0.016641420095975107,0.10524354623109514,0.2649119320628251,0.00011185834281767964,0.4226865856196418,9.118596833162451e-05,0.00011620088765330832,0.000711155715531779,0.0005811829772681353,0.17628989460500202,0.012526385776492002
-2271.778086_4245.402956,5.4750204739696804e-05,0.017559129355233877,0.00012157657797399584,0.07661280903397094,5.9013799295651014e-05,0.2658323459188944,0.01502392938618167,8.238871367665292e-05,4.5800450211723644e-05,0.11107818533131258,0.3845871409542078,0.12894293027430107
-2371.778086_2745.402956,0.48237445014928515,0.025535309961563106,0.1728099181209531,0.002610211318245344,0.033536938736617644,0.0469759205356921,0.017491998556080274,0.10095868005622942,0.002384288669483649,0.04395618773243582,0.003233883277828892,0.06813221288558557
-2371.778086_2845.402956,0.34304456495143704,0.013923920314174798,0.04782085278195679,0.20362975641529257,0.015314126600394353,7.278787251553399e-05,0.056278451202008827,0.026192709623993893,0.008436067554005283,0.22206344498406402,0.022495976040169202,0.040727341659987634
-2371.778086_2945.402956,0.30468493083803533,0.01547006067331277,0.07399121806733591,0.38997738043386193,0.052028045222724126,0.06854348108113681,0.002801550899286207,0.06615513830915772,7.001407886832028e-05,0.015080865213949746,0.004485899858360675,0.006711415323970371
-2371.778086_3045.402956,0.40221549462145206,0.012952571054460533,4.722725707308469e-05,0.08035406124124335,0.22451769470302496,0.03413811658192599,0.016718843139592685,0.19222867980429847,3.177509286718253e-05,0.00797220073969165,0.011648640795514267,0.01717469496885586
-2371.778086_3145.402956,0.2867995217309809,0.018586742092045597,0.06786117732872016,0.051628763838506814,0.30497918220400305,0.06735777782334804,5.8164029497645856e-05,0.09252057265613799,0.0018950122166177176,3.5292680527346694e-05,6.219585997240169e-05,0.10821559753964227
-2371.778086_3245.402956,0.30486117560708537,0.014150045931267946,0.09217900182549084,0.24021318055383606,0.25081805154696146,0.0032196964837166706,0.0016648152645302454,0.06233047105357212,0.0010277202902346733,0.014939573870097872,0.0006517379752712796,0.013944529597935502
